class_label,n_pairs,bias_bpm,sd_diff_bpm,loa_lower_bpm,loa_upper_bpm
ELA,107,6.475329897708764,12.544660318979235,-18.112204327490534,31.062864122908064
Math,88,0.7508907750366248,15.401851816319908,-29.436738784950396,30.938520335023643
History,51,3.622542885115183,15.201382510400505,-26.172166835269806,33.417252605500174
Social Skills,49,8.153781954499541,20.652638377078105,-32.325389264573545,48.63295317357263
Homeroom,32,-0.21897223253314468,20.831400305481452,-41.04851683127679,40.6105723662105
Cash-Out,28,9.057010487921394,23.41831578121561,-36.8428884432612,54.956909419103994
Commsci,28,1.9080989156670276,15.26822398669249,-28.01762009825025,31.83381792958431
Funday Friday,12,11.17363837835329,15.724171409146646,-19.64573758357413,41.993014340280716
Homework Reinforcement/Study Hall,10,-1.321428341647973,18.770146094922502,-38.110914687696074,35.46805800440013
