participant,points,first_ts,last_ts,days_with_data,avg_points_per_day,interval_median_s,interval_mean_s,interval_p05_s,interval_p95_s,typical_interval_s
1,909,2025-02-03 16:54:18+00:00,2025-02-07 20:35:56+00:00,5,181.8,5.0,395.2621145374449,1.9,592.0,5.0
2,231,2025-02-03 16:49:58+00:00,2025-02-05 22:37:35+00:00,3,77.0,13.0,841.9869565217391,1.0,1172.3,13.0
3,851,2025-02-04 19:24:17+00:00,2025-02-07 20:39:49.400000+00:00,4,212.75,5.0,310.2734117647059,3.0,257.49999999999955,5.0
4,2989,2025-02-03 16:49:58+00:00,2025-02-13 22:40:28+00:00,9,332.11,5.0,296.19477911646584,3.0,194.23000000000022,5.0
5,520,2025-02-10 16:56:20+00:00,2025-02-12 22:37:49+00:00,3,173.33,5.0,372.4258188824663,2.0,561.3,5.0
6,1078,2025-02-24 16:45:00.300000+00:00,2025-02-27 19:47:35+00:00,4,269.5,5.0,250.84001857010216,5.0,5.0,5.0
7,1621,2025-02-24 16:45:04.400000+00:00,2025-02-27 22:19:57.200000+00:00,4,405.25,5.0,172.402962962963,2.0,56.34999999999968,5.0
8,2367,2025-02-25 18:45:30.800000+00:00,2025-03-03 22:42:27+00:00,5,473.4,5.0,225.1125105663567,1.6500000000000001,14.75,5.0
9,760,2025-03-03 17:11:35+00:00,2025-03-07 19:04:08+00:00,5,152.0,5.0,464.2332015810277,4.9799999999999995,332.28000000000145,5.0
12,689,2025-03-17 17:37:40+00:00,2025-03-20 21:38:18+00:00,4,172.25,5.0,397.7296511627907,5.0,14.0,5.0
14,878,2025-03-25 15:51:05+00:00,2025-03-31 21:51:28.900000+00:00,4,219.5,5.0,615.7627137970354,2.0,391.7999999999997,5.0
16,973,2025-03-25 15:59:45+00:00,2025-03-27 18:22:20+00:00,3,324.33,5.0,186.57921810699588,5.0,13.0,5.0
